ano;regiao;uf;qtd
2018;Centro-Oeste;DF;57108
2018;Centro-Oeste;GO;86613
2018;Centro-Oeste;MS;43767
2018;Centro-Oeste;MT;58548
2018;Nordeste;AL;52004
2018;Nordeste;BA;203396
2018;Nordeste;CE;131540
2018;Nordeste;MA;115158
2018;Nordeste;PB;60092
2018;Nordeste;PE;139056
2018;Nordeste;PI;52248
2018;Nordeste;RN;48641
2018;Nordeste;SE;35455
2018;Norte;AC;17264
2018;Norte;AM;77534
2018;Norte;AP;17440
2018;Norte;PA;139442
2018;Norte;RO;28093
2018;Norte;RR;13315
2018;Norte;TO;24942
2018;Sudeste;ES;56337
2018;Sudeste;MG;263067
2018;Sudeste;RJ;220492
2018;Sudeste;SP;607701
2018;Sul;PR;156226
2018;Sul;RS;140052
2018;Sul;SC;99395
2019;Centro-Oeste;DF;55468
2019;Centro-Oeste;GO;83649
2019;Centro-Oeste;MS;43241
2019;Centro-Oeste;MT;58848
2019;Nordeste;AL;49638
2019;Nordeste;BA;195050
2019;Nordeste;CE;129158
2019;Nordeste;MA;111336
2019;Nordeste;PB;57413
2019;Nordeste;PE;134419
2019;Nordeste;PI;50464
2019;Nordeste;RN;44623
2019;Nordeste;SE;33724
2019;Norte;AC;17048
2019;Norte;AM;77098
2019;Norte;AP;16902
2019;Norte;PA;136064
2019;Norte;RO;26937
2019;Norte;RR;14586
2019;Norte;TO;24034
2019;Sudeste;ES;54491
2019;Sudeste;MG;256456
2019;Sudeste;RJ;207963
2019;Sudeste;SP;584621
2019;Sul;PR;153564
2019;Sul;RS;134575
2019;Sul;SC;97775
2020;Centro-Oeste;DF;52488
2020;Centro-Oeste;GO;80255
2020;Centro-Oeste;MS;40870
2020;Centro-Oeste;MT;57012
2020;Nordeste;AL;48095
2020;Nordeste;BA;186103
2020;Nordeste;CE;121891
2020;Nordeste;MA;103756
2020;Nordeste;PB;56125
2020;Nordeste;PE;130271
2020;Nordeste;PI;47865
2020;Nordeste;RN;44084
2020;Nordeste;SE;32805
2020;Norte;AC;15945
2020;Norte;AM;75073
2020;Norte;AP;15995
2020;Norte;PA;130999
2020;Norte;RO;25645
2020;Norte;RR;13738
2020;Norte;TO;23472
2020;Sudeste;ES;53407
2020;Sudeste;MG;246922
2020;Sudeste;RJ;199066
2020;Sudeste;SP;553437
2020;Sul;PR;146471
2020;Sul;RS;130600
2020;Sul;SC;97754
2021;Centro-Oeste;DF;51227
2021;Centro-Oeste;GO;78368
2021;Centro-Oeste;MS;41800
2021;Centro-Oeste;MT;57900
2021;Nordeste;AL;48664
2021;Nordeste;BA;182476
2021;Nordeste;CE;120262
2021;Nordeste;MA;106251
2021;Nordeste;PB;55757
2021;Nordeste;PE;127915
2021;Nordeste;PI;48729
2021;Nordeste;RN;44116
2021;Nordeste;SE;32283
2021;Norte;AC;16562
2021;Norte;AM;77839
2021;Norte;AP;16389
2021;Norte;PA;135265
2021;Norte;RO;25307
2021;Norte;RR;13863
2021;Norte;TO;23272
2021;Sudeste;ES;52115
2021;Sudeste;MG;241785
2021;Sudeste;RJ;189821
2021;Sudeste;SP;526339
2021;Sul;PR;142197
2021;Sul;RS;124349
2021;Sul;SC;96246
2022;Centro-Oeste;DF;48776
2022;Centro-Oeste;GO;77526
2022;Centro-Oeste;MS;40188
2022;Centro-Oeste;MT;58059
2022;Nordeste;AL;45781
2022;Nordeste;BA;171246
2022;Nordeste;CE;112549
2022;Nordeste;MA;95898
2022;Nordeste;PB;50930
2022;Nordeste;PE;118135
2022;Nordeste;PI;44591
2022;Nordeste;RN;40572
2022;Nordeste;SE;29514
2022;Norte;AC;15193
2022;Norte;AM;72056
2022;Norte;AP;15065
2022;Norte;PA;126071
2022;Norte;RO;24811
2022;Norte;RR;13056
2022;Norte;TO;22284
2022;Sudeste;ES;51621
2022;Sudeste;MG;234232
2022;Sudeste;RJ;180278
2022;Sudeste;SP;513879
2022;Sul;PR;140824
2022;Sul;RS;120916
2022;Sul;SC;97871
2023;Centro-Oeste;DF;47986
2023;Centro-Oeste;GO;79964
2023;Centro-Oeste;MS;39937
2023;Centro-Oeste;MT;58365
2023;Nordeste;AL;46549
2023;Nordeste;BA;165239
2023;Nordeste;CE;111388
2023;Nordeste;MA;94932
2023;Nordeste;PB;51728
2023;Nordeste;PE;116416
2023;Nordeste;PI;44436
2023;Nordeste;RN;39791
2023;Nordeste;SE;30150
2023;Norte;AC;15116
2023;Norte;AM;69475
2023;Norte;AP;14448
2023;Norte;PA;123806
2023;Norte;RO;23816
2023;Norte;RR;12978
2023;Norte;TO;22925
2023;Sudeste;ES;51816
2023;Sudeste;MG;232270
2023;Sudeste;RJ;175934
2023;Sudeste;SP;505331
2023;Sul;PR;140002
2023;Sul;RS;120893
2023;Sul;SC;96359
