ano;sexo;qtd
2000;Masculino;1640144
2001;Masculino;1593616
2002;Masculino;1567409
2003;Masculino;1554918
2004;Masculino;1548911
2005;Masculino;1551805
2006;Masculino;1508567
2007;Masculino;1482360
2008;Masculino;1503748
2009;Masculino;1476036
2010;Masculino;1466953
2011;Masculino;1492056
2012;Masculino;1485992
2013;Masculino;1487006
2014;Masculino;1526907
2015;Masculino;1544692
2016;Masculino;1463231
2017;Masculino;1498483
2018;Masculino;1508595
2019;Masculino;1457226
2020;Masculino;1398043
2021;Masculino;1369558
2022;Masculino;1310671
2000;Feminino;1559918
2001;Feminino;1516398
2002;Feminino;1487582
2003;Feminino;1479019
2004;Feminino;1473595
2005;Feminino;1479872
2006;Feminino;1435438
2007;Feminino;1408447
2008;Feminino;1430680
2009;Feminino;1405083
2010;Feminino;1394473
2011;Feminino;1420668
2012;Feminino;1419332
2013;Feminino;1416490
2014;Feminino;1451693
2015;Feminino;1472436
2016;Feminino;1394023
2017;Feminino;1424524
2018;Feminino;1435840
2019;Feminino;1391486
2020;Feminino;1331658
2021;Feminino;1307126
2022;Feminino;1250872
