ano_mes;ano;qtd
2017-01;2017;226414
2017-02;2017;223515
2017-03;2017;266965
2017-04;2017;252941
2017-05;2017;269777
2017-06;2017;254808
2017-07;2017;249008
2017-08;2017;244608
2017-09;2017;237644
2017-10;2017;233926
2017-11;2017;229578
2017-12;2017;234351
2018-01;2018;248735
2018-02;2018;230349
2018-03;2018;264342
2018-04;2018;262426
2018-05;2018;268724
2018-06;2018;245608
2018-07;2018;246705
2018-08;2018;243961
2018-09;2018;237043
2018-10;2018;237490
2018-11;2018;228568
2018-12;2018;230981
2019-01;2019;246048
2019-02;2019;232779
2019-03;2019;257871
2019-04;2019;250164
2019-05;2019;257068
2019-06;2019;236360
2019-07;2019;240490
2019-08;2019;233817
2019-09;2019;233289
2019-10;2019;225172
2019-11;2019;214454
2019-12;2019;221634
2020-01;2020;230864
2020-02;2020;220071
2020-03;2020;247191
2020-04;2020;242088
2020-05;2020;245069
2020-06;2020;228270
2020-07;2020;230902
2020-08;2020;220938
2020-09;2020;225386
2020-10;2020;215495
2020-11;2020;207497
2020-12;2020;216374
2021-01;2021;222011
2021-02;2021;211814
2021-03;2021;241026
2021-04;2021;233129
2021-05;2021;239942
2021-06;2021;222239
2021-07;2021;222752
2021-08;2021;219603
2021-09;2021;220926
2021-10;2021;215246
2021-11;2021;211153
2021-12;2021;217260
2022-01;2022;219825
2022-02;2022;207317
2022-03;2022;234109
2022-04;2022;225578
2022-05;2022;231719
2022-06;2022;213192
2022-07;2022;212832
2022-08;2022;209771
2022-09;2022;193997
2022-10;2022;191061
2022-11;2022;204592
2022-12;2022;217929
2023-01;2023;222542
2023-02;2023;204030
2023-03;2023;234022
2023-04;2023;218544
2023-05;2023;230858
2023-06;2023;217180
2023-07;2023;210891
2023-08;2023;209055
2023-09;2023;202873
2023-10;2023;200237
2023-11;2023;190052
2023-12;2023;191766
