faixa_etaria;ano;qtd
Menor de 10 anos;2018;0
10 a 14 anos;2018;21172
15 a 19 anos;2018;434956
20 a 24 anos;2018;723352
25 a 29 anos;2018;696559
30 a 34 anos;2018;611715
35 a 39 anos;2018;365814
40 a 44 anos;2018;85978
45 a 49 anos;2018;4920
50 a 54 anos;2018;323
55 a 59 anos;2018;50
60 a 64 anos;2018;21
65 a 69 anos;2018;3
Menor de 10 anos;2019;3
10 a 14 anos;2019;19330
15 a 19 anos;2019;399922
20 a 24 anos;2019;697478
25 a 29 anos;2019;674427
30 a 34 anos;2019;597119
35 a 39 anos;2019;364105
40 a 44 anos;2019;90968
45 a 49 anos;2019;5310
50 a 54 anos;2019;347
55 a 59 anos;2019;45
60 a 64 anos;2019;18
65 a 69 anos;2019;2
Menor de 10 anos;2020;0
10 a 14 anos;2020;17579
15 a 19 anos;2020;364074
20 a 24 anos;2020;670389
25 a 29 anos;2020;657405
30 a 34 anos;2020;569316
35 a 39 anos;2020;352885
40 a 44 anos;2020;92745
45 a 49 anos;2020;5262
50 a 54 anos;2020;373
55 a 59 anos;2020;34
60 a 64 anos;2020;30
65 a 69 anos;2020;3
Menor de 10 anos;2021;2
10 a 14 anos;2021;17456
15 a 19 anos;2021;347278
20 a 24 anos;2021;659013
25 a 29 anos;2021;654144
30 a 34 anos;2021;549107
35 a 39 anos;2021;347839
40 a 44 anos;2021;96429
45 a 49 anos;2021;5377
50 a 54 anos;2021;344
55 a 59 anos;2021;36
60 a 64 anos;2021;8
65 a 69 anos;2021;7
Menor de 10 anos;2022;0
10 a 14 anos;2022;14293
15 a 19 anos;2022;301313
20 a 24 anos;2022;617884
25 a 29 anos;2022;642358
30 a 34 anos;2022;535432
35 a 39 anos;2022;344060
40 a 44 anos;2022;100219
45 a 49 anos;2022;5909
50 a 54 anos;2022;338
55 a 59 anos;2022;52
60 a 64 anos;2022;13
65 a 69 anos;2022;3
Menor de 10 anos;2023;5
10 a 14 anos;2023;13904
15 a 19 anos;2023;288520
20 a 24 anos;2023;600395
25 a 29 anos;2023;644077
30 a 34 anos;2023;530802
35 a 39 anos;2023;344739
40 a 44 anos;2023;102901
45 a 49 anos;2023;6267
50 a 54 anos;2023;353
55 a 59 anos;2023;38
60 a 64 anos;2023;14
65 a 69 anos;2023;2
